       Q         R         S         T
617  0.0 -2.363687 -2.425895 -0.062208
618  0.0 -3.761662 -2.070509  1.691153
619  1.0 -2.595691 -0.675710  3.919981
620  0.0 -1.083503 -1.167217  0.916285
621  0.0 -0.673514  0.349038  2.022552
622  0.0 -0.368993 -1.650408 -1.281415
623  0.0 -3.174642 -3.606818  0.567824
624  0.0 -1.160035  0.001210  1.161245
625  0.0 -1.769678  0.343964  2.113642
626  0.0 -1.011770 -1.403007  1.608763
627  0.0 -0.519211 -0.114813  0.404398
628  0.0 -0.561036 -0.037706  0.523331
629  0.0 -2.687275 -0.659809  3.027466
630  0.0 -5.694880 -3.942816  1.752064
631  1.0 -2.510810 -0.490087  2.020723
632  0.0 -1.520755 -1.785550 -0.264795
633  0.0  0.444550  2.276791  2.832241
634  0.0 -4.575617 -3.845941  0.729676
635  0.0 -1.980510 -2.803063  0.177448
636  0.0 -2.273097 -3.202888  0.070209
637  0.0 -4.034193 -2.936616  1.097577
638  0.0 -1.368802 -2.763924 -0.395122
639  0.0 -3.430210 -2.877320  0.552890
640  0.0 -2.743504 -2.187159  0.556344
641  0.0 -0.288066 -2.774965 -1.486900
642  0.0 -1.853407 -1.502348  0.351059
643  0.0 -0.489938 -0.128045  1.361893
644  1.0 -2.081529 -0.543903  3.537626
645  0.0 -2.695516 -2.519055  0.176462
646  1.0 -0.936059  0.943961  1.880020
647  0.0  0.422391 -0.580597 -1.002989
648  0.0 -1.516438 -1.461562  1.054876
649  0.0 -1.241255  0.239854  1.481110
650  1.0 -5.947514 -4.013218  2.934296
651  0.0 -1.121510 -0.333919  0.787591
652  1.0 -0.868912  1.141170  4.010082
653  0.0 -3.128003 -2.671110  1.456893
654  0.0 -4.319578 -4.851831 -0.532253
655  0.0 -2.237195  1.085489  5.322684
656  0.0 -3.747815 -2.892702  1.855113
657  0.0 -1.858440 -1.716202  1.142238
658  1.0  2.446027  4.044868  1.598842
659  0.0 -0.051613  1.299137  3.350750
660  1.0 -1.207296  0.076470  3.283765
661  0.0  0.235274  0.091539 -0.143736
662  0.0 -1.413801  0.590495  3.004297
663  0.0  0.451522  0.302557  1.851035
664  1.0 -4.180854 -0.196781  3.984072
665  0.0 -1.553897  0.363132  2.917029
666  0.0  0.369609  0.795389  1.425780
667  0.0 -2.098551 -1.438001  2.660550
668  0.0 -3.262297 -1.864218  1.398079
669  1.0 -2.359765 -0.783958  1.575807
670  0.0 -3.483451 -4.988605 -0.505154
671  1.0 -1.230154  2.363214  5.593368
672  0.0 -0.228129 -0.055932  1.172197
673  0.0 -1.805587  0.205652  2.011239
674  0.0 -1.893060 -0.304991  1.588069
675  0.0 -2.683509 -3.336772  0.346737
676  1.0 -1.536388 -0.129600  2.406788
677  0.0  1.515962  3.126545  2.610583
678  1.0 -0.710929 -1.902090 -0.191161
679  0.0 -2.777990 -1.446167  1.331823
680  0.0 -1.063722 -0.566167  1.497555
681  1.0 -1.557012 -0.057668  1.499343
682  0.0 -1.041657 -1.208544  0.833113
683  0.0 -0.495462 -0.375097  1.120364
684  0.0 -1.857146 -0.394625  2.462521
685  0.0  2.042041  2.967833  1.925792
686  0.0 -3.004530 -1.384867  2.619663
687  0.0 -2.519250 -1.022560  1.496690
688  0.0 -1.571253 -0.486311  2.084942
689  1.0 -0.471175  1.501362  2.972537
690  0.0 -2.608987 -3.753991 -1.145004
691  0.0 -0.360822  1.060402  2.421224
692  1.0 -3.170567  0.187020  5.357587
693  1.0 -2.056414 -1.218463  1.837951
694  0.0 -2.429849 -1.093492  2.336358
695  1.0 -1.803178 -0.703180  1.099999
696  0.0 -3.088472 -4.054535 -0.966064
697  0.0 -2.433501 -2.880435  1.553066
698  0.0 -2.898455 -1.902505  0.995950
699  1.0  0.929377  1.864665  0.935288
700  0.0 -0.232935  0.559472  0.792406
701  0.0 -2.791228 -2.236252  1.554976
702  0.0 -2.525643 -4.127989 -0.602347
703  0.0  0.358200  1.717249  1.359050
704  1.0 -3.122886 -2.776983  1.345903
705  0.0 -3.127454 -4.124834  0.002620
706  0.0 -0.212663 -0.225496 -0.012833
707  0.0 -0.601117  1.121942  1.723059
708  1.0 -3.179093 -2.182328  0.996766
709  1.0 -2.834169 -2.909483  0.924686
710  0.0 -3.313015 -2.883625  2.429389
711  0.0 -1.950625 -1.183484  1.767142
712  1.0 -0.665432  0.688616  2.354047
713  1.0 -1.637838 -0.248694  2.389144
714  0.0 -1.914261 -3.696528 -1.782267
715  0.0 -1.768498 -0.676621  1.091878
716  1.0  0.986152  2.005598  2.019446
717  0.0 -0.139852 -0.645232  1.494621
718  1.0  0.100386  0.581070  0.480685
719  0.0  0.462808  2.706355  4.243547
720  0.0 -0.111641  0.988024  3.099665
721  1.0 -4.397956 -6.099274 -1.701318
722  0.0 -1.122705 -0.847784  1.274921
723  0.0 -1.990250 -1.012484  1.977766
724  0.0  1.328079  1.463940  1.135861
725  0.0 -2.057597 -1.226438  2.831159
726  0.0 -1.588795 -2.018150  0.570644
727  0.0  0.006412  0.283528  1.277116
728  1.0  0.336695  3.379488  3.042793
729  0.0 -2.463386 -2.570280 -0.106893
730  0.0 -1.200573  0.860502  2.061075
731  1.0 -1.207278 -0.931346  0.275932
732  0.0 -1.162588 -0.356970  0.805618
733  0.0 -0.323660 -1.427793 -0.104133
734  0.0 -4.815594 -4.297524  0.518070
735  0.0 -1.421750  0.685652  3.107402
736  0.0 -1.620012 -1.817629 -0.197617
737  0.0 -2.444097 -2.507465 -0.063367
738  1.0 -0.597398  0.592518  1.189916
739  1.0 -1.432013  0.888906  2.320919
740  1.0 -5.122927 -3.041207  2.081720
741  0.0 -0.736892 -0.286413  1.450479
742  0.0  0.298877  0.898966  0.600089
743  0.0 -2.942649 -1.835370  2.107279
744  0.0 -0.662324 -1.398641 -0.736317
745  0.0 -1.626491 -1.525530  2.100961
746  0.0 -1.801488 -3.190242  0.611246
747  0.0 -2.631937 -3.975429 -1.343493
748  1.0  1.165110  2.561844  2.396734
749  0.0  2.862858  2.209603 -0.653255
750  0.0 -0.651782 -0.428780  0.223002
751  0.0 -3.479793 -1.091635  3.388158
752  1.0 -0.192865  1.134574  2.327439
753  0.0 -2.523719 -2.806280  0.717439
754  0.0  0.714123  2.360217  2.646094
755  0.0 -2.745495 -0.516545  3.228950
756  1.0 -3.131394 -3.518031  1.613363
757  0.0 -1.985147 -1.428670  1.556477
758  0.0 -2.882553 -3.986835 -0.104282
759  1.0 -2.041507 -0.125857  3.915650
760  0.0 -2.526654 -0.533114  2.993540
761  0.0 -0.437711 -0.536345 -0.098634
762  1.0  0.666729  2.433711  2.766982
763  0.0 -2.696323 -1.619862  1.076460
764  0.0 -1.557963 -1.585977  0.971987
765  0.0 -0.191215 -0.351190 -0.159975
766  1.0 -1.672283 -1.571899  1.100384
767  0.0  1.291437  3.207005  2.915568
768  0.0 -3.217529 -5.929292 -1.711763
769  0.0 -1.715978 -2.077958 -0.361980
770  0.0 -2.089791 -2.900070  0.189721
771  0.0 -1.575247 -0.939735  1.635512
772  1.0 -1.997732  1.386549  5.384281
773  1.0  0.245569  2.952517  2.706948
774  0.0 -4.096557 -4.570078  1.526479
775  0.0 -0.069831  3.522988  3.592819
776  0.0 -2.371153 -1.969093  2.402060
777  0.0 -1.340859 -1.593192  1.747667
778  1.0 -0.044864  1.669884  1.714748
779  1.0  2.010284  1.544725  1.534442
780  0.0 -0.496896  0.158098  0.654994
781  0.0  0.621936  1.842217  3.220281
782  0.0 -3.109285 -4.840434 -1.731150
783  0.0 -1.642449 -0.828558  0.813891
784  0.0  3.268557  2.972586 -0.295971
785  0.0  0.123462  1.167644  1.044182
786  0.0  0.261592 -1.645438 -0.907030
787  0.0 -1.679867 -2.679289  0.000578
788  0.0 -1.107765 -1.214979  0.892785
789  0.0 -1.533590 -1.740662 -0.207072
790  0.0 -1.116578 -1.505409 -0.388831
791  1.0 -2.992237 -0.186917  3.805321
792  0.0 -2.920275 -2.772389  1.147887
793  1.0 -0.964693 -1.230851 -0.266157
794  0.0 -1.496134  1.180378  3.676512
795  0.0 -1.263535  0.693437  2.956971
796  0.0 -0.226861 -0.190979  1.035883
797  0.0  0.550154 -1.034639 -1.584794
798  1.0 -3.492859 -2.404342  3.088518
799  1.0 -1.805787  0.715687  3.521473
800  0.0 -3.404436 -4.286234  0.118202
801  0.0 -0.482098  1.947839  3.429937
802  0.0  0.872257  0.017612  0.145355
803  0.0 -0.733322 -0.934594 -0.201272
804  0.0 -3.044147 -3.253712  0.790435
805  1.0 -0.944966  0.309570  2.254536
806  0.0 -3.041285 -2.429192  2.612093
807  0.0 -3.153624 -0.229351  2.924274
808  0.0 -2.776917 -3.401613  0.375305
809  0.0 -1.002632 -0.138220  1.864413
810  0.0 -0.834711 -0.016437  0.818275
811  0.0 -2.082322 -2.894888  0.187435
812  0.0 -1.261009 -0.212057  1.048952
813  0.0 -3.547923 -3.786763 -0.238841
814  0.0 -2.918113 -3.813946 -0.895833
815  1.0 -1.844158  0.559099  3.403257
816  0.0 -0.416260 -2.808861 -2.392602
817  0.0 -1.227700 -0.228560  0.999139
818  1.0 -3.023825 -1.729929  1.293896
819  0.0 -0.392859  0.621271  1.014129
820  0.0  1.632700  3.299776  1.667075
821  0.0 -1.250116  0.669172  2.919288
822  0.0 -0.524695 -0.592299  1.932395
823  0.0 -0.097768 -0.247271  1.850497
824  1.0  0.976090  2.913846  2.937756
825  0.0  0.719098  2.341691  1.622593
826  0.0 -0.247537  0.313251  0.560788
827  0.0 -2.487002 -1.114262  1.372740
828  1.0  0.118392  2.371883  3.253491
829  0.0 -4.441684 -4.524894 -0.083210
830  1.0  0.153862  1.044096  0.890234
831  1.0  0.187060  1.584797  2.397737
832  0.0 -1.437130 -0.817359  0.619771
833  0.0 -2.067512 -1.924926  0.142586
834  1.0 -2.963812 -1.596209  1.367603
835  0.0 -2.160659 -2.129685  1.030974
836  1.0 -1.722628 -0.012139  1.710489
837  0.0 -1.235828  0.016788  2.252615
838  0.0 -4.178527 -5.619438 -1.440911
839  0.0 -0.478476  0.966320  2.444796
840  0.0 -1.635419 -0.417243  3.218177
841  1.0 -2.584589  0.068570  3.653159
842  0.0  2.304585  1.809903 -0.494683
843  0.0 -4.256409 -5.602879 -0.346471
844  0.0  0.390619  0.431670  0.041051
845  0.0 -3.222096 -0.864056  3.358039
846  0.0 -3.729604 -4.537877  0.191727
847  0.0 -1.254480 -1.745610 -0.491130
848  0.0 -0.116076 -0.610800 -0.494724
849  0.0  0.542566  0.665886  1.123320
850  0.0 -1.385335 -1.552286 -0.166951
851  1.0 -2.859327 -3.001231 -0.141903
852  1.0 -0.963707 -1.272316  0.691391
853  0.0  0.639879  2.529019  2.889141
854  1.0  0.065034  0.090974  1.025940
855  0.0 -3.014805 -3.470657  1.544148
856  0.0 -1.903896 -0.061955  3.841941
857  0.0 -0.404912  0.958698  1.363610
858  1.0 -1.575428  0.014839  1.590267
859  0.0 -1.474887  0.085974  1.560861
860  0.0 -0.208493 -2.017668 -1.809174
861  0.0 -0.312471  0.654981  2.967451
862  0.0 -2.488360 -1.979867  0.508494
863  1.0 -2.221246  2.274719  5.495965
864  0.0 -3.192553 -3.547591 -0.355038
865  0.0 -0.185113 -0.799695  0.385418
866  1.0 -1.066955  1.581454  3.648409
867  0.0 -2.263629 -2.293827 -0.030198
868  0.0 -1.916494  1.170480  4.086974
869  0.0 -4.359281 -4.397224  0.962057
870  0.0  0.713207 -0.162284 -0.875491
871  0.0  0.129716  0.531754  2.402037
872  0.0 -1.076725 -0.943820  1.132904
873  0.0 -0.770373 -0.375365  0.395008
874  1.0 -0.129344  0.471180  0.600524
875  1.0 -3.884112 -4.877211 -0.993099
876  0.0 -0.878764 -0.241903  1.636861
877  0.0 -3.508238 -2.505169  1.003069
878  0.0 -3.182131 -2.984032  0.198098
879  1.0 -4.374359 -4.001809  0.372549
880  1.0 -0.402985  0.130225  1.533211
881  0.0 -4.117322 -2.748603  2.368719
882  1.0 -4.219497 -4.137647  2.081850
883  1.0 -5.769489 -3.198054  3.571435
884  0.0 -0.578785 -0.080228  2.498557
885  1.0 -2.077168  1.684588  3.761756
886  0.0 -2.207203 -3.626595 -1.419391
887  0.0 -0.794457 -0.052895  1.741562
888  0.0  0.533171 -1.075518 -0.608689
889  0.0 -3.642566 -3.122941  0.519625
890  0.0 -2.379618 -2.099972  1.279646
891  0.0 -0.790795 -1.176739  0.614057
892  1.0 -2.678674 -2.599747  2.078927
893  0.0 -1.619034 -0.781023  1.838011
894  0.0 -1.671061  0.897724  2.568785
895  0.0  0.056209  0.024978 -0.031231
896  0.0 -1.963001 -2.355761  0.607239
897  0.0 -1.179876  0.751736  2.931613
898  0.0  0.696050  0.027750 -0.668300
899  0.0 -3.131215 -2.502057  1.629159
900  0.0 -3.536917 -2.645029  0.891887
901  0.0 -3.102978 -1.031228  2.071750
902  0.0 -4.060981 -3.614040  0.446941
903  1.0 -1.376765  1.907026  3.283791
904  0.0 -0.551050 -0.837544 -0.286494
905  0.0 -0.506480 -0.957252 -0.450773
906  0.0 -1.826671 -0.370815  3.455856
907  0.0 -0.788975  0.079700  1.868675
908  0.0 -0.140932  0.002034  0.142966
909  0.0 -1.131303 -0.563480  0.567823
910  0.0 -2.154667 -1.288018  2.866650
911  0.0 -2.417210 -0.665675  1.751535
912  1.0 -3.357846 -1.442430  1.915416
913  0.0 -1.890038  0.746859  3.636897
914  0.0 -1.431559  0.301384  1.732944
915  0.0 -2.970308 -1.913791  1.056516
916  0.0 -1.059127 -1.981623  0.077504
917  0.0  1.953863  2.359563  2.405699
918  1.0  0.222932  2.587442  2.364510
919  0.0 -3.385821 -2.424218  0.961603
920  1.0 -1.068866  0.182589  2.251454
921  0.0  0.500411  0.196133  0.695722
922  0.0 -4.216667 -3.054359  2.162308
923  0.0  1.181733  2.354292  2.172559
924  0.0 -1.439085  2.285468  3.724553
925  0.0 -2.177888  0.856979  5.034868
926  0.0 -1.211312 -3.576010 -1.364698
927  1.0 -1.642779 -0.321164  2.321615
928  0.0  0.452476  0.000537  0.548061
929  0.0 -2.687658 -1.497781  3.189877
930  0.0 -2.107268 -3.094767  0.012501
931  0.0 -1.771052 -1.765894  0.005157
932  0.0 -2.240798 -2.843402  0.397396
933  1.0 -2.454228 -1.039642  1.414587
934  1.0 -3.120447 -1.464572  2.655875
935  0.0 -3.272118 -2.386630  0.885488
936  1.0 -0.971350  2.591481  3.562831
937  0.0 -0.174287  0.630000  2.804287
938  0.0 -1.956275 -0.559444  2.396831
939  1.0 -0.847095  0.467785  1.314880
940  0.0  1.496555  2.457900  1.961345
941  0.0 -0.280127  0.603570  1.883697
942  0.0  1.154299  2.551421  1.397122
943  0.0 -1.678199 -2.469400 -0.791201
944  0.0 -1.283416 -1.114119  0.169297
945  0.0 -2.288872 -0.341684  1.947188
946  0.0 -0.634852  1.830812  2.465664
947  0.0 -3.224380 -5.231637 -2.007257
948  0.0 -3.357169 -1.018177  2.338992
949  0.0 -3.340933 -1.977013  1.363920
950  0.0 -1.572173 -2.365290  1.206883
951  1.0  0.797197  3.586653  3.789456
952  0.0 -2.424157 -2.547963 -0.123806
953  0.0 -3.205776 -1.478409  2.727367
954  0.0 -0.626953 -0.211872  1.415081
955  0.0 -1.373748 -1.029314  1.344434
956  1.0 -2.269845 -0.633554  2.636291
957  0.0  2.042402  2.786075  1.743674
958  0.0 -4.451154 -4.873740 -0.422586
959  1.0  0.350029  2.396346  2.046317
960  0.0 -2.113417 -1.245142  2.868275
961  1.0 -1.202675  0.974834  3.177509
962  0.0 -3.288001 -2.785214  1.502787
963  0.0 -2.421229 -2.740540 -0.319310
964  0.0 -2.643494 -2.092102  1.551392
965  0.0  0.201428 -0.185678  1.612894
966  0.0 -0.294387  0.040634  1.335021
967  0.0  0.379607  3.825896  3.446289
968  0.0 -1.273611 -1.030563  2.243047
969  1.0  1.196394  3.796515  3.600121
970  0.0 -2.174607 -2.812388 -0.637781
971  0.0 -1.123570 -0.385814  0.737756
972  0.0 -2.590398  1.433343  5.023741
973  0.0 -3.145922 -0.494277  3.651645
974  0.0  1.242788  1.910104  1.667316
975  1.0 -0.037309 -1.507400 -0.470091
976  0.0 -2.400901 -1.912529  2.488372
977  0.0 -3.337169 -4.817008 -0.479839
978  0.0 -1.732466 -1.539896  1.192570
979  1.0 -2.357533 -3.691476 -1.333943
980  0.0 -3.206265 -2.789386  2.416878
981  0.0  0.023299 -0.939758  1.036942
982  0.0 -4.035524 -3.803613  0.231911
983  1.0 -0.778646  1.942109  3.720755
984  1.0 -1.615230  0.228309  3.843539
985  0.0 -2.148948 -1.721989  1.426958
986  0.0 -0.855159  1.565746  3.420904
987  0.0 -2.551976 -3.371542 -0.819566
988  0.0  0.781691  0.454670 -0.327020
989  1.0  0.079165  1.980540  1.901375
990  0.0  1.894802  2.388980  1.494178
991  1.0  1.470797  2.116294  1.645497
992  1.0 -0.560975  3.271273  3.832248
993  0.0 -1.238644 -1.896449  0.342195
994  1.0  0.999187  4.031770  5.032583
995  0.0 -0.912876 -0.611037  0.301838
996  0.0 -2.215895 -1.132542  1.083353
997  1.0  0.486087  1.722715  3.236629
998  0.0 -4.214544 -5.520258 -1.305714
999  0.0 -2.097862 -2.410952 -0.313090
